aciklama,adres,tarih
2022 YILINDA YAPILACAK ÖĞRETMENLİK ALAN BİLGİSİ TESTİ (ÖABT) DUYURUSU ,http://oygm.meb.gov.tr/www/2022-yilinda-yapilacak-ogretmenlik-alan-bilgisi-testi-oabt-duyurusu/icerik/958,24/12/2021
Yurt Dışında Görevlendirilecek Öğretim Üyesi / Öğretim Görevlisi / Okutman Seçme Sınavı Kılavuzu - 2022 ,/yurt-disinda-gorevlendirilecek-ogretim-uyesi-ogretim-gorevlisi-okutman-secme-sinavi-kilavuzu-2022/duyuru/24881,21/12/2021
Yurt Dışında Görevlendirilecek Öğretmenleri Seçme Sınavı Kılavuzu - 2022 ,/yurt-disinda-gorevlendirilecek-ogretmenleri-secme-sinavi-kilavuzu-2022/duyuru/24880,23/12/2021
Millî Eğitim Bakanlığı Sözleşmeli Bilişim Personeli Alımı ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-sozlesmeli-bilisim-personeli-alimi/icerik/1259,10/12/2021
Millî Sporcuların Beden Eğitimi Alanına Sözleşmeli Öğretmen Olarak Başvuru ve Atama Duyurusu (Kasım 2021) ,http://personel.meb.gov.tr/www/mill-sporcularin-beden-egitimi-alanina-sozlesmeli-ogretmen-olarak-basvuru-ve-atama-duyurusu-kasim-2021/icerik/1248,28/10/2021
Millî Eğitim Bakanlığının Merkez ve Taşra Teşkilatı Personelinin Unvan Değişikliği Yoluyla Atamalarına İlişkin Başvuru Kılavuzu ,http://personel.meb.gov.tr/www/mill-egitim-bakanliginin-merkez-ve-tasra-teskilati-personelinin-unvan-degisikligi-yoluyla-atamalarina-iliskin-basvuru-kilavuzu/icerik/1244,14/10/2021
MİLLÎ EĞİTİM BAKANLIĞINA SÖZLEŞMELİ FİZYOTERAPİST VE DESTEK PERSONELİ (AŞÇI VE AŞÇI YARDIMCISI) İSTİHDAMINA İLİŞKİN DUYURU ,http://personel.meb.gov.tr/www/mill-egitim-bakanligina-sozlesmeli-fizyoterapist-ve-destek-personeli-asci-ve-asci-yardimcisi-istihdamina-iliskin-duyuru/icerik/1239,25/10/2021
2021-2022 Eğitim Öğretim Yılı Öğretmenlik Bursu Sonuçları ,https://www.meb.gov.tr/sinavlar/sonuc/sorgu.php?SINAV_ID=2C31F5A71C5A900A21A5562B97D2654A,24/09/2021
05 Eylül 2021 Adaylık Kaldırma Sınav (AKS) Sonuçları ,http://oygm.meb.gov.tr/www/05-eylul-2021-adaylik-kaldirma-sinav-aks-sonuclari/icerik/924,24/09/2021
2021 Eylül Sözleşmeli Öğretmenliğe Başvuru ve Atama Duyurusu ,http://personel.meb.gov.tr/www/2021-eylul-sozlesmeli-ogretmenlige-basvuru-ve-atama-duyurusu/icerik/1231,23/09/2021
Kuveyt Hükûmetince Verilen 12 Adet Arapça Dil Bursu Duyurusu ,http://abdigm.meb.gov.tr/www/kuveyt/icerik/1632,20/09/2021
Millî Eğitim İstatistikleri Yayınlanmıştır(Örgün Eğitim 2020/2021) ,http://sgb.meb.gov.tr/www/mill-egitim-istatistikleri-yayinlanmistirorgun-egitim-20202021/icerik/425,10/09/2021
15.000 Sözleşmeli Öğretmen Atama Takvimi ,http://personel.meb.gov.tr/www/15000-sozlesmeli-ogretmen-atama-takvimi/icerik/1224,09/09/2021
Her İkisi de Sözleşmeli Öğretmen Olan Eşlerin Aile Birlikteliğine İlişkin Açıklama ,http://personel.meb.gov.tr/www/her-ikisi-de-sozlesmeli-ogretmen-olan-eslerin-aile-birlikteligine-iliskin-aciklama/icerik/1223,07/09/2021
Sözleşmeli Öğretmenlerin Sağlık Mazeretine Bağlı İller Arası Yer Değiştirme Duyurusu ,http://personel.meb.gov.tr/www/sozlesmeli-ogretmenlerin-saglik-mazeretine-bagli-iller-arasi-yer-degistirme-duyurusu/icerik/1214,19/08/2021
05 Eylül 2021 Adaylık Kaldırma Sınavı (AKS) Başvuru  Ek Süre Verilmesi ,http://oygm.meb.gov.tr/www/05-eylul-2021-adaylik-kaldirma-sinavi-aks-basvuru-ek-sure-verilmesi/icerik/916,19/08/2021
2021 Mart Sözleşmeli Öğretmen Ataması Takvim Değişikliğine İlişkin  Açıklama ,http://personel.meb.gov.tr/www/2021-mart-sozlesmeli-ogretmen-atamasi-takvim-degisikligine-iliskin-aciklama/icerik/1212,18/08/2021
Adaylık Kaldırma Sınavı (AKS) Kılavuzu (05 Eylül 2021) ,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-kilavuzu-05-eylul-2021/icerik/911,04/08/2021
Taşra Teşkilatı Kadrolarında Bazı Unvanlarda Görev Yapan Personelin 2021 Yılı İller Arası İsteğe Bağlı Yer Değiştirme Sonuçları ,http://personel.meb.gov.tr/www/tasra-teskilati-kadrolarinda-bazi-unvanlarda-gorev-yapan-personelin-2021-yili-iller-arasi-istege-bagli-yer-degistirme-sonuclari/icerik/1201,16/07/2021
"Meb Personelinin Görevde Yükselme, Unvan Değişikliği Ve Yer Değiştirme Suretiyle Atanması Hakkında Duyuru Ve Takvim ",http://www.meb.gov.tr/meb_iys_dosyalar/2021_07/09110254_MEB_Gorevde_yukselme_Duyuru_Takvim.pdf,09/07/2021
Taşra Teşkilatı Kadrolarında Bazı Unvanlarda Görev Yapan Personelin 2021 Yılı İller Arası İsteğe Bağlı Yer Değiştirmelerine İlişkin Duyuru ,http://personel.meb.gov.tr/www/tasra-teskilati-kadrolarinda-bazi-unvanlarda-gorev-yapan-personelin-2021-yili-iller-arasi-istege-bagli-yer-degistirmelerine-iliskin-duyuru/icerik/1194,25/06/2021
2021 Yılı Öğretmenlerin İller Arası İsteğe ve Zorunlu Çalışma Yükümlülüğüne Bağlı Yer Değiştirmelerine İlişkin Duyuru ,http://personel.meb.gov.tr/www/2021-yili-ogretmenlerin-iller-arasi-istege-ve-zorunlu-calisma-yukumlulugune-bagli-yer-degistirmelerine-iliskin-duyuru/icerik/1189,07/06/2021
2021 Yılı Öğretmenlerin İl İçi Yer Değiştirme Duyurusu ,http://personel.meb.gov.tr/www/2021-yili-ogretmenlerin-il-ici-yer-degistirme-duyurusu/icerik/1188,07/06/2021
Sözleşmeli Bilişim Personeli Sözlü Sınavına Çağrılacak Adaylar Hakkında Duyuru ,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-sozlu-sinavina-cagrilacak-adaylar-hakkinda-duyuru/icerik/1184,20/05/2021
Belçika Hükumetince Verilecek 3 Adet Fransızca Dil Bursu Duyurusu ,http://abdigm.meb.gov.tr/www/belcika/icerik/1584,04/05/2021
Hırvatistan Hûkümetince Verilen 8 Ay Süreli Doktora Sonrası Çalışmalar ya da Doktora Araştırma Bursu Duyurusu ,http://abdigm.meb.gov.tr/www/hirvatistan/icerik/1579,27/04/2021
Millî Eğitim Bakanlığı Sözleşmeli Bilişim Personeli Alımı ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-sozlesmeli-bilisim-personeli-alimi/icerik/1170,15/04/2021
25 Nisan 2021 Adaylık Kaldırma Sınavı (AKS) İptali Hakkında Duyuru ,http://oygm.meb.gov.tr/www/25-nisan-2021-adaylik-kaldirma-sinavi-aks-iptali-hakkinda-duyuru/icerik/893,26/04/2021
GÜVENLİ OKULLAŞMA VE UZAKTAN EĞİTİM PROJESİ DANIŞMANLIK FİRMALARI İÇİN İLGİ BİLDİRİMİNE DAVET İLANI ,http://yegitek.meb.gov.tr/www/guvenli-okullasma-ve-uzaktan-egitim-projesi-danismanlik-firmalari-icin-ilgi-bildirimine-davet-ilani/icerik/3184,01/04/2021
25 Nisan 2021 Adaylık Kaldırma Sınavı (AKS) Ücret Yatırma Ek Süre Hakkında Duyuru ,http://oygm.meb.gov.tr/www/25-nisan-2021-adaylik-kaldirma-sinavi-aks-ucret-yatirma-ek-sure-hakkinda-duyuru/icerik/886,25/03/2021
2021 Yılı Millî Eğitim Bakanlığına Bağlı Eğitim Kurumlarına Yönetici Görevlendirme Takvimleri ,http://personel.meb.gov.tr/www/2021-yili-mill-egitim-bakanligina-bagli-egitim-kurumlarina-yonetici-gorevlendirme-takvimleri/icerik/1168,22/03/2021
TAYLAND HÜKÜMET BURSU DUYURUSU ,http://abdigm.meb.gov.tr/www/tayland/icerik/1537,08/03/2021
Adaylık Kaldırma Sınavı (AKS) Kılavuzu (25 Nisan 2021) ,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-kilavuzu-25-nisan-2021/icerik/883,05/03/2021
MEB 2020 YILI İDARE FAALİYET RAPORU YAYINLANMIŞTIR. ,http://sgb.meb.gov.tr/www/meb-2020-yili-idare-faaliyet-raporu-yayinlanmistir/icerik/409,03/03/2021
Ukrayna Hükûmetince Tahsis Edilen Burslar ,http://abdigm.meb.gov.tr/www/2021-2022-hukmet-burslari/icerik/1490,02/03/2021
STAJ SEFERBERLİĞİ PROJESİ KAPSAMINDA STAJ BAŞVURULARI BAŞLADI ,/staj-seferberligi-projesi-kapsaminda-staj-basvurulari-basladi/duyuru/22607,23/02/2021
28.000 (Yirmi sekiz bin) ADET ETKİLEŞİMLİ TAHTA ALIMINA AİT İHALE İLANI ,http://yegitek.meb.gov.tr/www/28000-yirmi-sekiz-bin-adet-etkilesimli-tahta-alimina-ait-ihale-ilani/icerik/3152,12/02/2021
Millî Eğitim Bakanlığı Personeline Yönelik Unvan Değişikliği e-Sınavına İlişkin Duyuru ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-personeline-yonelik-unvan-degisikligi-e-sinavina-iliskin-duyuru/icerik/1155,10/02/2021
Millî Eğitim Bakanlığı Personeline Yönelik Unvan Değişikliği Yazılı Sınavına İlişkin Duyuru ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-personeline-yonelik-unvan-degisikligi-yazili-sinavi-hakkinda-duyuru/icerik/1152,05/02/2021
Yabancı Hükümetlerce Tahsis Edilen Lisans ve Lisansüstü Burslar ,/yabanci-hukumetlerce-tahsis-edilen-lisans-ve-lisansustu-burslar/duyuru/22442,29/01/2021
Altyapı Çalışması ,/altyapi-calismasi/duyuru/22432,28/01/2021
ÖSYM Tarafından Yapılan KPSS 2020/2 Yerleştirmeleri Sonucunda Bakanlığımız Merkez Teşkilatı Kadrolarına Yerleşen Adaylara İlişkin Duyuru ,http://personel.meb.gov.tr/www/osym-tarafindan-yapilan-kpss-20202-yerlestirmeleri-sonucunda-bakanligimiz-merkez-teskilati-kadrolarina-yerlesen-adaylara-iliskin-duyuru/icerik/1144,20/01/2021
2021 YILINDA YAPILACAK ÖĞRETMENLİK ALAN BİLGİSİ TESTİ (ÖABT) DUYURUSU ,http://oygm.meb.gov.tr/www/2021-yilinda-yapilacak-ogretmenlik-alan-bilgisi-testi-oabt-duyurusu/icerik/863,22/12/2020
Yurt Dışında Görevlendirilecek Öğretim Üyesi/Öğretim Görevlisi/Okutman Seçme Sınavı Kılavuzu - 2021 ,/yurt-disinda-gorevlendirilecek-ogretim-uyesiogretim-gorevlisiokutman-secme-sinavi-kilavuzu-2021/duyuru/22208,21/12/2020
Yurt Dışında Görevlendirilecek Öğretmenleri Seçme Sınavı Kılavuzu - 2021 ,/yurt-disinda-gorevlendirilecek-ogretmenleri-secme-sinavi-kilavuzu-2021/duyuru/22206,21/12/2020
DYS'de altyapı ve güncelleme çalışması yapılacaktır ,/dysde-altyapi-ve-guncelleme-calismasi-yapilacaktir/duyuru/22180,17/12/2020
Staj Seferberliği Projesi Kapsamında Staj Başvuruları Başladı ,/staj-seferberligi-projesi-kapsaminda-staj-basvurulari-basladi/duyuru/22049,27/11/2020
2021-2022 Akademik Yılı Macaristan Devlet Bursları Duyurusu ,http://abdigm.meb.gov.tr/www/2021-2022-hukmet-burslari/icerik/1490,19/11/2020
2020-2021 Eğitim Öğretim Yılı Öğretmenlik Bursu Sonuçları ,https://www.meb.gov.tr/sinavlar/sonuc/sorgu.php?SINAV_ID=D0C8779E018823DD0AFED7A76EE6D678,29/09/2020
2020 Yılı Öğretmenler Günü Genelgesi Yayınlandı ,http://oygm.meb.gov.tr/www/2020-yili-ogretmenler-gunu-genelgesi-yayinlandi/icerik/832,21/09/2020
"İletişim, Çevre ve Sosyal Uzman Alım İlanı ",http://yegitek.meb.gov.tr/www/iletisim-cevre-ve-sosyal-uzman-alim-ilani/icerik/3077,08/09/2020
Milli Eğitim İstatistikleri Yayınlanmıştır (Örgün Eğitim 2019/2020 ) ,http://sgb.meb.gov.tr/www/milli-egitim-istatistikleri-yayinlanmistir-orgun-egitim-20192020/icerik/397,04/09/2020
Millî Eğitim Bakanlığı Sözleşmeli Bilişim Personeli Sözlü Sınavı Sonuçlarına İlişkin Duyuru ,http://personel.meb.gov.tr/www/mill-egitim-bakanligi-sozlesmeli-bilisim-personeli-sozlu-sinavi-sonuclarina-iliskin-duyuru/icerik/1103,28/08/2020
Çanakkale Savaşlarının 105. Yıl Dönümü Anma Törenleri Kapsamında Resim-Şiir ve Kompozisyon Yarışmasında Derece Alan Eserler Belirlendi. ,http://tegm.meb.gov.tr/www/canakkale-savaslarinin-105-yil-donumu-anma-torenleri-kapsaminda-resim-siir-ve-kompozisyon-yarismasinda-derece-alan-eserler-belirlendi/icerik/679,02/09/2020
15 Temmuz Demokrasi ve Millî Birlik Günü Etkinlikleri Kapsamında Resim Yarışmasında Derece Alan Eserler Belirlendi. ,http://tegm.meb.gov.tr/www/15-temmuz-demokrasi-ve-mill-birlik-gunu-etkinlikleri-kapsaminda-resim-yarismasinda-derece-alan-eserler-belirlendi/icerik/678,02/09/2020
Anadolu Meslek Programı 9 uncu Sınıf Öğrencilerinin Alana Geçiş Kılavuzu Yayımlandı ,http://mtegm.meb.gov.tr/www/anadolu-meslek-programi-9-uncu-sinifa-yerel-yerlestirme-ile-kayit-yaptirmis-ogrencilerin-meslek-alanlarina-gecis-islemlerinin-nasil-yapilacagi-ile-ilgili-kilavuz-yayimlanmistir/icerik/2774,26/08/2020
26 Temmuz 2020 Adaylık Kaldırma Sınav Sonuç Duyurusu ,http://oygm.meb.gov.tr/www/26-temmuz-2020-adaylik-kaldirma-sinav-sonuc-duyurusu/icerik/819,18/08/2020
2020 İlköğretim ve Ortaöğretim  Kurumları Bursluluk Sınavı Başvuru ve Uygulama Kılavuzu ,http://www.meb.gov.tr/meb_iys_dosyalar/2020_08/17130029_2020_YlkoYretim_ve_OrtaoYretim_KurumlarY_Bursluluk_SYnavY_BaYvuru_ve_Uygulama_KYlavuzuGuncel.pdf,17/08/2020
Satın Alma ve Mali Yönetim Uzmanı Alımı ,http://yegitek.meb.gov.tr/www/satin-alma-ve-mali-yonetim-uzmani-alimi/icerik/3072,19/08/2020
Öğretmen Yetiştirme ve Geliştirme Genel Müdürlüğü Adaylık Kaldırma Sınavı Soru Kitapçığı ve Cevap Anahtarı ,/ogretmen-yetistirme-ve-gelistirme-genel-mudurlugu-adaylik-kaldirma-sinavi-soru-kitapcigi-ve-cevap-anahtari/duyuru/21373,29/07/2020
Sözleşmeli Bilişim Personeli Sözlü Sınavına Çağrılacak Adaylar Hakkında Duyuru ,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-sozlu-sinavina-cagrilacak-adaylar-hakkinda-duyuru/icerik/1086,27/07/2020
26/07/2020 Tarihli Adaylık Kaldırma Sınavı Sınav Giriş Belgesi ,/26072020-tarihli-adaylik-kaldirma-sinavi-sinav-giris-belgesi/duyuru/21313,17/07/2020
Millî Sporcuların Beden Eğitimi Alanına Sözleşmeli Öğretmen Olarak Atanma Sonuçları (Haziran 2020) ,http://personel.meb.gov.tr/www/mill-sporcularin-beden-egitimi-alanina-sozlesmeli-ogretmen-olarak-atanma-sonuclari-haziran-2020/icerik/1078,16/07/2020
Taşra Teşkilatı Kadrolarında Bazı Unvanlarda Görev Yapan Personelin 2020 Yılı İller Arası İsteğe Bağlı Yer Değiştirme Sonuçları ,http://personel.meb.gov.tr/www/tasra-teskilati-kadrolarinda-bazi-unvanlarda-gorev-yapan-personelin-2020-yili-iller-arasi-istege-bagli-yer-degistirme-sonuclari/icerik/1077,10/07/2020
Sözleşmeli Bilişim Personeli Alım İlanı ,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-alim-ilani/icerik/1072,06/07/2020
Taşra Teşkilatı Kadrolarında Bazı Unvanlarda Görev Yapan Personelin 2020 Yılı İller Arası İsteğe Bağlı Yer Değiştirmelerine İlişkin Duyuru ,http://personel.meb.gov.tr/www/tasra-teskilati-kadrolarinda-bazi-unvanlarda-gorev-yapan-personelin-2020-yili-iller-arasi-istege-bagli-yer-degistirmelerine-iliskin-duyuru/icerik/1071,30/06/2020
26 Temmuz 2020 Adaylık Kaldırma Sınavı (AKS) Ücret Yatırma Ek Süre Hakkında Duyuru ,http://oygm.meb.gov.tr/www/26-temmuz-2020-adaylik-kaldirma-sinavi-aks-ucret-yatirma-ek-sure-hakkinda-duyuru/icerik/813,26/06/2020
Emniyet Genel Müdürlüğü Misyon Koruma Sınavı Duyurusu ,http://www.meb.gov.tr/meb_iys_dosyalar/2020_06/15165252_EGM_Misyon_Koruma_SYnavY_Duyurusu.pdf,15/06/2020
(Düzeltme İlanı) Genel Müdürlüğümüz tarafından FATİH Projesi kapsamında 1250 Okulun Ağ Altyapı Kurulumu ihalesine ilişkin Düzeltme İlanıdır - 12.06.2020 ,http://yegitek.meb.gov.tr/www/duzeltme-ilani-genel-mudurlugumuz-tarafindan-fatih-projesi-kapsaminda-1250-okulun-ag-altyapi-kurulumu-ihalesine-iliskin-duzeltme-ilanidir-12062020/icerik/3059,11/10/2021
Adaylık Kaldırma Sınavı (AKS) e- Kılavuzu (26 Temmuz 2020) ,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-e-kilavuzu-26-temmuz-2020/icerik/807,01/06/2020
AÇIK ÖĞRETİM OKULLARININ İKİNCİ DÖNEM SINAVLARI 25-26 TEMMUZ'DA YAPILACAK ,/acik-ogretim-okullarinin-ikinci-donem-sinavlari-25-26-temmuzda-yapilacak/duyuru/21019,31/05/2020
(Düzeltme İlanı) Genel Müdürlüğümüz tarafından FATİH Projesi kapsamında 1250 Okulun Ağ Altyapı Kurulumu ihalesine ilişkin Düzeltme İlanıdır ,http://yegitek.meb.gov.tr/www/duzeltme-ilani-genel-mudurlugumuz-tarafindan-fatih-projesi-kapsaminda-1250-okulun-ag-altyapi-kurulumu-ihalesine-iliskin-duzeltme-ilanidir/icerik/3051,11/10/2021
Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınava Yönelik Mayıs Ayı 2. Çalışma Soruları Yayımlandı ,http://odsgm.meb.gov.tr/www/sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinava-yonelik-mayis-ayi-2-calisma-sorulari-yayimlandi/icerik/545,19/08/2021
Genel Müdürlüğümüz tarafından FATİH Projesi kapsamında 1250 Okulun Ağ Altyapı Kurulumu ihalesi İlanı ,http://yegitek.meb.gov.tr/www/genel-mudurlugumuz-tarafindan-fatih-projesi-kapsaminda-1250-okulun-ag-altyapi-kurulumu-ihalesi-ilani/icerik/3045,11/10/2021
Sistem Bakım ve İyileştirme Çalışması ,/sistem-bakim-ve-iyilestirme-calismasi/duyuru/20718,16/04/2020
Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınava Yönelik Nisan Ayı Örnek Soruları Yayımlandı ,http://odsgm.meb.gov.tr/www/sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinava-yonelik-nisan-ayi-ornek-sorulari-yayimlandi/icerik/527,19/08/2021
Sözleşmeli Bilişim Personeli Sınav İlanına İlişkin Duyuru ,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-sinav-ilanina-iliskin-duyuru/icerik/1030,06/04/2020
2020 Haziran Sözleşmeli Öğretmen Atama Takvimi ve Kontenjanlar ,http://personel.meb.gov.tr/www/2020-haziran-sozlesmeli-ogretmen-atama-takvimi-ve-kontenjanlar/icerik/1029,21/08/2020
Adaylık Kaldırma Sınavı (AKS) Tarih Değişikliği ,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-tarih-degisikligi/icerik/792,21/03/2020
18.000 (On sekiz bin) Adet Etkileşimli Tahta İhale İlanı ,http://yegitek.meb.gov.tr/www/18000-on-sekiz-bin-adet-etkilesimli-tahta-ihale-ilani/icerik/3032,11/10/2021
Sözleşmeli Bilişim Personeli Alım İlanı ,http://personel.meb.gov.tr/www/sozlesmeli-bilisim-personeli-alim-ilani/icerik/1024,18/03/2020
BİLSEM ÖĞRETMEN SEÇME VE ATAMA TARİHLERİNİN ERTELENMESİ DUYURUSU ,http://orgm.meb.gov.tr/www/bilsem-ogretmen-secme-ve-atama-tarihlerinin-ertelenmesi-duyurusu/icerik/1294,13/03/2020
BİLSEM GRUP TARAMA UYGULAMALARI DUYURUSU ,http://orgm.meb.gov.tr/www/bilsem-grup-tarama-uygulamalari-duyurusu/icerik/1293,14/03/2020
Adaylık Kaldırma Sınavı (AKS) e- Kılavuzu (25 Nisan 2020) ,http://oygm.meb.gov.tr/www/adaylik-kaldirma-sinavi-aks-e-kilavuzu-25-nisan-2020/icerik/789,28/02/2020
2020 MTSK e-Sınav Uygulama Kılavuzu ,http://www.meb.gov.tr/meb_iys_dosyalar/2020_01/28152051_2020_MTSK_e-SYnav_Uygulama_KYlavuzu.pdf,28/01/2020
"2020 Yılı Yurt Dışında Görevlendirilecek Öğretim Üyesi, Öğretim Görevlisi, Okutman Başvurusu Ön Değerlendirme Sonuçları ",https://www.meb.gov.tr/sinavlar/sonuc/sorgu.php?SINAV_ID=12F02333533CE3D52E00DC4256BBA523,24/01/2020
Sınavla Öğrenci Alacak Ortaöğretim Kurumlarına İlişkin Merkezî Sınava Yönelik Ocak Ayı Örnek Soruları Yayımlandı ,http://odsgm.meb.gov.tr/www/sinavla-ogrenci-alacak-ortaogretim-kurumlarina-iliskin-merkez-sinava-yonelik-ocak-ayi-ornek-sorulari-yayimlandi/icerik/508,19/08/2021
2020 Ocak Sözleşmeli Öğretmenlik Sözlü Sınav Yeri Bilgisi ,http://personel.meb.gov.tr/www/2020-ocak-sozlesmeli-ogretmenlik-sozlu-sinav-yeri-bilgisi/icerik/1009,21/01/2020
Eğitim Kurumlarına Yönetici Seçme Sınavı Duyurusu (2020-MEB-EKYS) ,http://personel.meb.gov.tr/www/egitim-kurumlarina-yonetici-secme-sinavi-duyurusu-2020-meb-ekys/icerik/1008,20/01/2020
Eğitimde Mükemmeliyet ve Başarı Programı (TEA) ,http://abdigm.meb.gov.tr/www/egitimde-mukemmeliyet-ve-basari-programi-tea/icerik/1375,09/01/2020
Uluslararası Yarışmalarda Derece Alan Öğrenciler ,http://ogm.meb.gov.tr/www/uluslararasi-yarismalarda-derece-alan-ogrenciler/icerik/842,07/01/2020
2020 YILINDA YAPILACAK ÖĞRETMENLİK ALAN BİLGİSİ TESTİ (ÖABT) DUYURUSU ,http://oygm.meb.gov.tr/www/2020-yilinda-yapilacak-ogretmenlik-alan-bilgisi-testi-oabt-duyurusu/icerik/780,27/12/2019
8 Aralık 2019 Adaylık Kaldırma Sınav Sonuç Duyurusu ,http://oygm.meb.gov.tr/www/8-aralik-2019-adaylik-kaldirma-sinav-sonuc-duyurusu/icerik/778,24/12/2019
"2020 Yarı Yıl Dönemi Kadrolu Öğretmenlerin Aile Birliği, Sağlık, Can Güvenliği Mazeretleri Ve Engellilik Durumu İle Diğer Nedenlere Bağlı Yer Değiştirme Duyurusu ",http://www.meb.gov.tr/meb_iys_dosyalar/2019_12/20171132_2020_YarY_YYl_Donemi_Kadrolu_OYretmenlerin_Aile_BirliYi_SaYlYk_Can_GuvenliYi_Mazeretleri_Ve_Engellilik_Durumu_Yle_DiYer_Nedenlere_BaYlY_Yer_DeYiYtirme_Duyurusu_.pdf,20/12/2019
2020 Ocak Sözleşmeli Öğretmen Atama Duyurusu ,http://personel.meb.gov.tr/www/2020-ocak-sozlesmeli-ogretmen-atama-duyurusu/icerik/1000,20/12/2019
2019 YLSY - Kurum Kontenjanlarına Yerleşmeye Hak Kazanan Adayların Belge Teslimi Hakkında Duyuru - GÜNCELLEME ,http://yyegm.meb.gov.tr/www/2019-ylsy-kurum-kontenjanlarina-yerlesmeye-hak-kazanan-adaylarin-belge-teslimi-hakkinda-duyuru-guncelleme/icerik/450,10/12/2019
"Macaristan Hükumeti Tarafından 2020-2021 Akademik Yılı için 40 Lisans, 65 Yüksek Lisans, 40 Doktora ve 5 Kısa Dönem Bursu Duyurusu ",http://abdigm.meb.gov.tr/www/macaristan/icerik/1349,02/12/2019
MİLLÎ EĞİTİM BAKANLIĞI 2019-2023 STRATEJİK PLANI YAYINLANMIŞTIR ,http://www.meb.gov.tr/stratejik_plan/,26/11/2019
2019 YLSY Kurum Kontenjanlarına Yerleşmeye Hak Kazanan Adayların Belge Teslimi Hakkında Duyuru ,http://yyegm.meb.gov.tr/www/2019-ylsy-kurum-kontenjanlarina-yerlesmeye-hak-kazanan-adaylarin-belge-teslimi-hakkinda-duyuru/icerik/441,22/11/2019
2020 Bilim ve Sanat Merkezlerine Öğretmen Seçme ve Atama Kılavuzu Yayınlandı ,/2020-bilim-ve-sanat-merkezlerine-ogretmen-secme-ve-atama-kilavuzu-yayinlandi/duyuru/19712,20/11/2019
